ticker,mae,rmse,r2,dpa,long_ret_mean,short_ret_mean,status
KPTI,0.04813277844809936,0.06240420646297908,-0.16961249381952892,43.652561247216035,0.03007563325369706,1.3958657039765399,success
KROS,0.02669207496904339,0.033628128934156565,-0.6191076526860826,48.792270531400966,0.09103110515429735,-1.0322693926858666,success
KURA,0.028121086880211425,0.04042294659188362,-0.029294825173449945,46.701846965699204,-0.10677935453807148,-0.35421704577251434,success
KYMR,0.027103584100231306,0.05212866422578712,-0.006901136529706697,59.58549222797927,0.9507518194693986,-1.6399602001592426,success
L,0.008901050755269365,0.01213834757430929,0.0014019436335149793,55.509783728115345,0.07456942758537423,-0.18901240167869354,success
LCID,,,,,,,skipped_volatile
LEG,0.018139108455952742,0.0279323923776475,-0.0019669673389268727,45.62306900102986,-0.0874394912159267,0.029262541181560176,success
LEGN,0.025069117640843998,0.032415333184911785,-0.1649661782224452,40.79601990049751,-0.2084510961967555,-0.3583854890489196,success
LEN,0.01589827409210009,0.021616380229902633,-0.0038560019127287237,51.081359423274975,0.08514901390086001,0.0034659263037379435,success
LHX,0.010631655885479605,0.014807921320551413,-0.0030650174935460406,51.3903192584964,0.05867636916274754,0.0,success
LI,0.021214728983751575,0.02711297127613825,-0.25465031107897107,48.205128205128204,-0.2589031272081668,-0.07637571320406877,success
LIN,0.009103294902055333,0.012750336827004684,-0.0004762519861376546,52.523171987641604,0.06168571739397091,0.0,success
LLY,0.01446802439119829,0.020990162446342532,-0.003709115811186825,51.081359423274975,0.3200698295483718,0.0014136450737701764,success
LMT,0.009619302020032135,0.014239660605768492,-0.01183596013376742,50.669412976313076,0.09298640932591169,0.04495841521099923,success
LNG,0.013547824217522781,0.01866553038334377,-0.012692113454905396,52.523171987641604,0.08095740428542259,0.0,success
LOW,0.012261280783467431,0.016460726011423718,-0.007562621751915799,52.42018537590113,0.052204277519981884,-0.3211175487407292,success
LRCX,0.023635063365515598,0.03148796263660124,-0.1763579249275542,47.88877445932029,0.29010037996233234,0.20858313978998066,success
LULU,0.017138300476439997,0.026346240884734837,-0.006871752770741368,52.1865889212828,-0.0672537698003203,0.0,success
LW,0.017146828421943167,0.0290139521461504,-0.010152701082090099,51.94029850746269,-0.17165010875192635,-0.05609813706210718,success
LYB,0.014441748324248377,0.021097588670897786,-0.019874606546687712,47.250859106529205,-0.0283949569700026,0.023820531891299106,success
LYEL,,,,,,,skipped_volatile
LYFT,0.027152349881893953,0.039997018395200125,-0.09719750095153112,51.02040816326531,0.09821058709757183,0.2556971648194929,success
MA,0.00879647571211185,0.012769506536061535,-0.09340086238765011,54.52054794520548,0.05527133401443006,0.23627864249659222,success
MAA,0.010863014093887602,0.01430256904481857,-0.012014754206416622,48.918640576725025,-0.01848696797242905,0.0,success
MAR,0.01354409426876339,0.018269829696927534,-0.0855798150341307,52.00823892893924,0.06281908213609079,0.7136358859324439,success
MCD,0.008472100351375068,0.011286415519710487,-0.06040737024850573,49.330587023686924,0.12454611284667223,0.013376719914598698,success
MCHP,0.019957830894782348,0.028412558526332465,-0.001126207224094733,50.25746652935118,0.09328073790300113,0.010063300563651631,success
MCO,0.012134687350480674,0.01732618359715126,-0.034189995989994726,52.42018537590113,0.052863291864905355,1.0712836708187234,success
MDB,0.02667897022519219,0.044152007520480006,-0.053646980823293555,52.33333333333333,0.19291308201724486,0.0737640727225253,success
MDLZ,0.00915042738796895,0.012240088476423812,-7.041034465604668e-05,50.163576881134134,0.014032924568417916,0.0,success
MDT,0.009993882193692584,0.013677993378696528,-0.00029863638772220646,51.3903192584964,0.12228305443608044,-0.0203049504972053,success
MET,0.0122311694698551,0.0167826962458799,-0.058551452408491356,50.41580041580042,0.04996567414809618,0.020029792515015615,success
META,0.015243674688817833,0.022188781343275267,-0.00020081230640056624,51.98412698412699,0.08621648674447493,0.0,success
MGNX,0.03905820918858635,0.05488474202290848,-0.026988486037728743,54.988913525498894,0.0,0.02573592090864114,success
MHK,0.01768107449345258,0.024854809711956263,-0.008036524674256418,48.81565396498455,0.023659256990283838,0.0497348140943187,success
MKC,0.011187697933656518,0.015573808898069712,-0.015890473006170636,50.360453141091654,-0.018705824676670074,0.14401394785652943,success
MLM,0.012316599380801319,0.01662149821159961,-0.00017667719351943667,53.03810504634397,0.07811241807407303,0.0,success
MMC,0.009306793727989544,0.012848992512315758,-0.04421777720934039,46.03501544799176,0.0,0.023498226391571366,success
MMM,0.012497983953563373,0.018950569052716873,-0.0003166011840076699,50.360453141091654,0.06087963040691458,-0.1268537071706155,success
MNDY,0.03513255522428462,0.05361962568942014,-0.63504213887372,47.53086419753087,-1.086009666045431,-0.12651365383485455,success
MO,0.008789840324374232,0.012887987125038943,-0.004857757123578388,52.31719876416066,0.051012143649566404,0.12199878425503712,success
MPC,0.015260138230145109,0.021068886152461653,-0.06082723935205925,47.58364312267658,0.023438664272729115,0.14456837354658383,success
MPWR,0.025327204170425673,0.03517802490534467,-0.10005916101366097,51.715374841168995,0.22185323734966114,0.11436202306252295,success
MRK,0.010469308855749888,0.014744698573159895,2.308271708229004e-05,52.111225540679705,0.05710858836326471,0.0,success
MRNA,0.0320130477520364,0.04277773328263513,-0.04756658527666979,52.918287937743195,0.42338642303364377,-0.6475071653164464,success
MRUS,0.021428940338152326,0.03850510529125731,-0.05261316531130622,54.46685878962536,0.5362173170628575,0.21267926981208868,success
MRVL,0.026671843917998615,0.03782573842357343,-0.007504725129891421,48.68835257082896,-0.5383744457380374,0.1249141009826524,success
MS,0.012841445344124338,0.018114354070035154,-0.0012659109142225677,53.45005149330587,0.09952460691301142,0.0,success
MSFT,0.01204909253551825,0.01694361269898627,-0.008532941554568074,52.111225540679705,0.06026600134123747,0.01911101000003182,success
MTB,0.013581824990726075,0.019009883001962827,0.0006322453537384032,51.28733264675592,0.06356904801612191,0.0,success
NBIX,0.013801209291857477,0.020712349267640547,2.5567694861394763e-05,52.31719876416066,0.054785096183325506,-0.24960772674143425,success
NEE,0.012673057088264467,0.017441989498660725,-0.005641943553246875,52.31719876416066,0.03814369336833858,0.0,success
NEM,0.01734420414801664,0.024169713043769463,-0.0022400136203450938,49.330587023686924,0.052446748555666924,0.1125147519878792,success
NET,0.027215962418263445,0.03632872404766032,-0.19309805320595586,42.98245614035088,-1.4203949707015904,0.28196890113174544,success
NFLX,0.016229847582999755,0.023764829983690058,-0.0022260232130280055,51.92743764172335,0.196071174245688,-1.708397035301601,success
NIO,,,,,,,skipped_volatile
NKE,0.015611800706692764,0.02320855797699929,-0.024407440477113518,46.96189495365603,-0.11626303222724661,0.1344550355978079,success
NKTR,0.04238045782178703,0.05838864524326976,-0.06477912328049684,48.30072090628219,-0.18077469757453796,0.04894431944853959,success
NOC,0.010600942419764543,0.015820583170053255,-0.004940026969265876,52.62615859938208,0.07116828116219796,0.04391422633374803,success
NOV,0.01882427879623561,0.02602061914349098,-0.0030219934144517513,49.0216271884655,0.034486114941655245,0.10138776411459231,success
NOW,0.016871906032755787,0.02504834563844102,-0.010067127712666046,51.800000000000004,-0.021681064055434025,-0.1690626345633334,success
NRIX,,,,,,,skipped_volatile
NSC,0.011364904772839923,0.01582910369708944,-0.005489131554767157,49.53656024716786,0.012140450824805013,0.06811257629413765,success
NTLA,0.04319539640724407,0.06116465314945253,-0.034392521035087054,51.54929577464789,0.358221237057746,-0.7945711174193881,success
NTRS,0.013074006807633728,0.018694409191367264,-0.00010977120790012229,52.42018537590113,0.057708979348345193,0.0,success
NUE,0.017706272756610613,0.024661706233771574,-0.13131494189804327,50.25746652935118,0.03843068185668315,0.04567295482307013,success
NUVB,0.0379406520039541,0.060947431406388385,-0.009610582229763631,51.041666666666664,1.6118027873668153,0.27295527986405216,success
NVAX,0.04160897156547365,0.06083814645031639,-0.0003269720589158531,45.05154639175258,-0.06688532122434099,0.0,success
NVDA,0.02395640556922246,0.03304967202974287,-0.005337298496201681,53.86199794026777,0.27039723654874986,0.41789711543505764,success
NVO,0.016839648798849943,0.025546931547807517,-0.012172962041152369,50.9783728115345,-0.10960366529153022,0.009359154673013003,success
NVR,0.01289226966276229,0.017403173913485087,-0.006025181842696181,51.081359423274975,0.07031138638177527,0.0,success
